Participant,Task,Chatbot_A,Chatbot_B,Chatbot_C,Chatbot_D,Chatbot_E
1,1,3,5,2,4,1
2,1,3,1,5,4,2
3,1,2,4,3,5,1
20,1,4,2,5,1,3
17,1,3,1,5,2,4
5,1,1,4,2,5,3
13,1,2,5,4,1,3
6,1,3,1,2,4,5
21,1,1,4,5,3,2
9,1,2,1,3,4,5
10,1,5,2,4,1,3
11,2,4,2,5,1,3
8,2,4,3,2,1,5
14,2,3,5,4,2,1
15,2,4,1,2,5,3
16,2,2,1,3,4,5
4,2,5,3,2,1,4
12,2,3,2,4,5,1
18,2,2,4,3,5,1
19,2,3,1,5,2,4
7,2,3,2,4,1,5
22,2,2,3,4,5,1
24,3,2,1,5,4,3
25,3,3,2,5,1,4
29,3,1,3,4,5,2
26,3,4,3,5,2,1
32,3,4,2,5,1,3
23,3,1,3,5,2,4
27,3,3,5,4,2,1
28,3,3,2,5,1,4
30,3,2,5,4,3,1
31,3,2,3,1,5,4
33,3,5,1,2,4,3
42,4,3,1,5,4,2
35,4,1,2,5,3,4
36,4,2,3,5,1,4
39,4,1,2,5,3,4
34,4,2,4,3,1,5
38,4,3,5,2,4,1
40,4,2,3,5,4,1
41,4,2,5,4,1,3
37,4,5,3,2,4,1
43,4,1,2,5,3,4
44,5,2,3,4,3,1
45,5,1,5,3,2,4
50,5,4,3,2,5,1
46,5,2,1,5,4,3
53,5,2,1,5,3,4
47,5,3,4,5,1,2
48,5,3,2,5,4,1
49,5,4,5,1,3,2
51,5,3,2,5,4,1
52,5,3,4,1,2,5

